circuitId,circuitRef,laps,corners,name,location,country,nationality,lat,lng,alt,url
58,aintree,50,8,Aintree,Liverpool,UK,British,53.4769,-2.94056,20,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
59,boavista,66,19,Circuito da Boavista,Oporto,Portugal,Portuguese,41.1705,-8.67325,28,http://en.wikipedia.org/wiki/Circuito_da_Boavista
60,riverside,75,9,Riverside International Raceway,California,USA,American,33.937,-117.273,470,http://en.wikipedia.org/wiki/Riverside_International_Raceway
61,avus,60,4,AVUS,Berlin,Germany,German,52.4806,13.2514,53,http://en.wikipedia.org/wiki/AVUS
62,monsanto,62,9,Monsanto Park Circuit,Lisbon,Portugal,Portuguese,38.7197,-9.20306,158,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit
63,sebring,42,14,Sebring International Raceway,Florida,USA,American,27.4547,-81.3483,18,http://en.wikipedia.org/wiki/Sebring_Raceway
64,ain-diab,53,14,Ain Diab,Casablanca,Morocco,Moroccan,33.5786,-7.6875,19,http://en.wikipedia.org/wiki/Ain-Diab_Circuit
65,pescara,18,50,Pescara Circuit,Pescara,Italy,Italian,42.475,14.1508,129,http://en.wikipedia.org/wiki/Pescara_Circuit
66,bremgarten,80,13,Circuit Bremgarten,Bern,Switzerland,Swiss,46.9589,7.40194,551,http://en.wikipedia.org/wiki/Circuit_Bremgarten
67,pedralbes,80,6,Circuit de Pedralbes,Barcelona,Spain,Spanish,41.3903,2.11667,85,http://en.wikipedia.org/wiki/Pedralbes_Circuit
68,buddh,60,16,Buddh International Circuit,Uttar Pradesh,India,Indian,28.3487,77.5331,194,http://en.wikipedia.org/wiki/Buddh_International_Circuit
69,americas,56,19,Circuit of the Americas,Austin,USA,American,30.1328,-97.6411,161,http://en.wikipedia.org/wiki/Circuit_of_the_Americas
70,red_bull_ring,71,10,Red Bull Ring,Spielberg,Austria,Austrian,47.2197,14.7647,678,http://en.wikipedia.org/wiki/Red_Bull_Ring
71,sochi,53,18,Sochi Autodrom,Sochi,Russia,Russian,43.4057,39.9578,2,http://en.wikipedia.org/wiki/Sochi_Autodrom
72,port_imperial,50,19,Port Imperial Street Circuit,New Jersey,USA,American,40.7769,-74.0111,4,http://en.wikipedia.org/wiki/Port_Imperial_Street_Circuit
73,BAK,51,20,Baku City Circuit,Baku,Azerbaijan,Azerbaijani,40.3725,49.8533,-7,http://en.wikipedia.org/wiki/Baku_City_Circuit
74,hanoi,55,23,Hanoi Street Circuit,Hanoi,Vietnam,Vietnamese,21.0166,105.766,9,http://en.wikipedia.org/wiki/Hanoi_Street_Circuit
75,portimao,66,15,Autódromo Internacional do Algarve,Portimão,Portugal,Portuguese,37.227,-8.6267,108,http://en.wikipedia.org/wiki/Algarve_International_Circuit
76,mugello,59,15,Autodromo Internazionale del Mugello,Mugello,Italy,Italian,43.9975,11.3719,255,http://en.wikipedia.org/wiki/Mugello_Circuit
77,jeddah,50,27,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,Saudi,21.6319,39.1044,15,http://en.wikipedia.org/wiki/Jeddah_Street_Circuit
78,losail,57,16,Losail International Circuit,Al Daayen,Qatar,Qatari,25.49,51.4542,\N,http://en.wikipedia.org/wiki/Losail_International_Circuit
79,miami,57,19,Miami International Autodrome,Miami,USA,American,25.9581,-80.2389,\N,http://en.wikipedia.org/wiki/Miami_International_Autodrome
